Ingredient,Radius
fresh rosemary,28.1
polenta,15.95
linguine,17.65
pecorino romano cheese,44.0
balsamic vinegar,32.0
skim mozzarella cheese,44.0
pine nuts,19.35
dry white wine,28.1
flat leaf parsley,34.0
lasagna noodles,30.0
pasta,12.45
fresh parmesan cheese,42.1
fresh basil leaves,36.5
dried basil,22.85
arborio rice,24.55
marinara sauce,28.1
prosciutto,21.05
pasta sauce,22.85
spaghetti,19.35
italian seasoning,34.0
olive oil,19.35
extra,12.45
extra virgin olive oil,44.0
low fat ricotta cheese,44.0
parmesan cheese,30.0
fresh basil,22.85
grated parmesan cheese,44.0
