Ingredient,Radius
shiso,12.45
ramen noodles,26.25
dashi powder,24.55
yellow miso,22.85
black sesame seeds,36.5
dashi kombu,22.85
japanese rice,26.25
red miso,17.65
shoyu,12.45
wasabi powder,26.25
udon,10.75
japanese soy sauce,36.5
wasabi,14.15
seaweed,15.95
gari,10.75
rice vinegar,24.55
wasabi paste,24.55
bonito flakes,26.25
miso,10.75
soba noodles,24.55
soy sauce,19.35
dried bonito flakes,39.0
miso paste,21.05
rice,10.75
white miso,21.05
konbu,12.45
nori,10.75
dashi,12.45
sake,10.75
mirin,12.45
