Ingredient,Radius
unsalted butter,30.0
rising cornmeal,30.0
shortening,21.05
bacon drippings,30.0
country ham,22.85
large eggs,21.05
pecans,14.15
light corn syrup,32.0
pecan halves,24.55
sweet potatoes,28.1
low fat milk,24.55
green tomatoes,28.1
vanilla extract,30.0
purpose flour,26.25
quickcooking grits,36.5
butter,14.15
cornmeal,17.65
white cornmeal,28.1
black,12.45
self rising flour,34.0
eyed peas,19.35
cornmeal,17.65
pecan pieces,24.55
peach,12.45
bourbon,15.95
collard greens,28.1
baking soda,22.85
grits,12.45
baking powder,26.25
buttermilk,21.05
