bread,12.2,14
baking powder,26,2
brown sugar,22.6,2
powdered sugar,27.7,2
cornstarch,20.8,2
coconut oil,22.6,2
cocoa powder,24.3,2
almond extract,27.7,2
dark brown sugar,31.2,2
light corn syrup,31.2,2
shortening,20.8,2
molasses,17.4,2
whole wheat flour,32.9,2
marshmallows,24.3,2
semi sweet chocolate chips,48.4,2
sweetened condensed milk,45,2
pumpkin puree,26,2
evaporated milk,29.5,2
vanilla bean,24.3,2
cornmeal,17.4,2
gelatin,15.7,2
slivered almonds,31.2,2
unbleached flour,31.2,2
pine nuts,19.1,2
graham cracker crumbs,39.8,2
orange juice,24.3,13
pineapple juice,29.5,13
canned tomatoes,29.5,5
chicken broth,26,5
low sodium chicken broth,45,5
canned black beans,34.6,5
olives,13.9,5
beef broth,20.8,5
kalamata olives,29.5,5
tomato sauce,24.3,5
roasted red peppers,36.4,5
black olives,24.3,5
chicken stock,26,5
maple syrup,22.6,14
oats,10.5,14
cream cheese,24.3,6
shredded cheddar cheese,43.3,6
goat cheese,22.6,6
chive & onion cream cheese spread,60.5,6
sharp cheddar cheese,38.1,6
cheese,13.9,6
monterey jack cheese,38.1,6
swiss cheese,24.3,6
blue cheese,22.6,6
mayonnaise,20.8,9
ketchup,15.7,9
hot sauce,19.1,9
mustard,15.7,9
soy sauce,19.1,9
low sodium soy sauce,38.1,9
sesame oil,20.8,10
fish sauce,20.8,10
salsa,12.2,10
flour tortillas,29.5,10
corn tortillas,27.7,10
frozen corn,22.6,1
bacon,12.2,7
chicken breasts,29.5,7
ground beef,22.6,7
whole chicken,26,7
cooked bacon,24.3,7
lean ground beef,31.2,7
turkey,13.9,7
sour cream,20.8,4
egg yolk,17.4,4
egg whites,20.8,4
buttermilk,20.8,4
almond milk,22.6,4
cream,12.2,4
whipped topping,29.5,4
greek yogurt,24.3,4
whipped cream,26,4
half n half,22.6,4
plain greek yogurt,34.6,4
low fat milk,24.3,4
plain yogurt,24.3,4
margarine,19.1,4
coconut milk,24.3,4
peanut butter,26,15
creamy peanut butter,38.1,15
pecan,12.2,12
almonds,15.7,12
walnuts,15.7,12
pistachios,20.8,12
olive oil,19.1,8
vegetable oil,26,8
extra virgin olive oil,41.5,8
balsamic vinegar,31.2,8
red wine vinegar,31.2,8
cider vinegar,26,8
rice vinegar,24.3,8
egg vermicelli,27.7,11
tomato paste,24.3,11
rice,10.5,11
pasta,12.2,11
onion,12.2,1
garlic,13.9,1
lemon juice,22.6,1
carrots,15.7,1
tomatoes,17.4,1
bell pepper,22.6,1
red onion,19.1,1
red bell peppers,31.2,1
celery,13.9,1
shallot,15.7,1
avocado,15.7,1
banana,13.9,1
yellow onion,24.3,1
strawberries,24.3,1
green bell pepper,32.9,1
apple,12.2,1
peppers,15.7,1
cucumber,17.4,1
lemon,12.2,1
blueberries,22.6,1
mushroom,17.4,1
sweet potato,24.3,1
cherry tomatoes,29.5,1
orange zest,22.6,1
spinach,15.7,1
fresh rosemary,27.7,1
peas,10.5,1
broccoli,17.4,1
peach,12.2,1
lime,10.5,1
coconut,15.7,1
kale,10.5,1
cauliflower,22.6,1
mango,12.2,1
fresh chives,24.3,1
orange,13.9,1
sweet onion,22.6,1
butternut squash,31.2,1
broccoli florets,31.2,1
pineapple,19.1,1
plum tomatoes,26,1
cranberries,22.6,1
white onion,22.6,1
green beans,22.6,1
eggplant,17.4,1
lime zest,19.1,1
cabbage,15.7,1
green onions,24.3,1
grape tomatoes,27.7,1
yellow bell pepper,34.6,1
lettuce,15.7,1
russet potatoes,29.5,1
red potatoes,24.3,1
cherry,13.9,1
lemon peel,20.8,1
radishes,17.4,1
fresh thyme leaves,34.6,1
granny smith apples,36.4,1
romaine lettuce,29.5,1
yukon gold potato,32.9,1
arugula,15.7,1
roma tomatoes,26,1
lime wedges,22.6,1
jalapeno,17.4,1
black pepper,24.3,3
ground cinnamon,29.5,3
garlic powder,26,3
ground cumin,24.3,3
chili powder,24.3,3
red pepper flakes,32.9,3
paprika,15.7,3
ground ginger,26,3
ground nutmeg,26,3
dried thyme,22.6,3
bay leaves,20.8,3
dried basil,22.6,3
smoked paprika,27.7,3
rosemary,17.4,3
cinnamon stick,27.7,3
ground allspice,29.5,3
cumin seeds,22.6,3
pumpkin pie spice,32.9,3
seasoned salt,26,3
oregano,15.7,3
cilantro,17.4,3
ginger,13.9,3
fresh basil,22.6,3
sesame seeds,24.3,3
fresh mint,20.8,3
bittersweet chocolate,39.8,12
chocolate,19.1,12
dark chocolate,27.7,12
raisins,15.7,2
dried cranberries,32.9,2
almond flour,24.3,2
quinoa,13.9,11
dates,12.2,1
coconut flour,26,2
