pimento stuffed olives,45,5
roasted red peppers,40,5
red bell peppers,33,1
pimenton,18.65,10
seedless green grape,41,1
hot smoked paprika,37.5,3
club soda,20.35,12
vegetable juice,31,12
dried salted codfish,41,18
saffron,16.95,3
smoked paprika,29.1,3
blanched almonds,33,17
green olives,25.55,5
rioja,13.45,10
orange,15.15,1
tomato juice,25.55,12
chorizo,16.95,7
mussels,16.95,18
fideos,15.15,10
sherry wine vinegar,40,8
extra virgin olive oil,45,8
spanish paprika,31,3
chorizo sausage,31,7
manchego cheese,31,6
serrano ham,23.85,7
sherry vinegar,29.1,8
saffron threads,31,3
spanish chorizo,31,7
